,number,auprc,latency,datetime_start,datetime_complete,duration,params_alpha,params_gamma,params_lambda,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,experiment
10,10,0.7893394252069803,0.597783088684082,2021-06-15 17:08:51.591059,2021-06-15 17:09:05.512716,0 days 00:00:13.921657,8.825110209021329,0.007551870233199473,0.9821883571044576,2.5625231580526954e-05,4.404018770203901,15,8.312897261605439,110,0.5938653076015801,COMPLETE,Random
11,11,0.8706855363998477,1.0008859634399414,2021-06-15 17:09:05.513535,2021-06-15 17:09:40.921239,0 days 00:00:35.407704,1.7487352812154167,0.056222821759386324,4.602970679225159,0.040257022512996204,1.6136868541205063,11,4.836899497073073,357,0.4374035461792189,COMPLETE,Random
12,12,0.8489400498513264,0.6083459854125977,2021-06-15 17:09:40.922057,2021-06-15 17:09:54.002292,0 days 00:00:13.080235,8.619487772567462,0.3079778684236222,4.896514417394337,0.6714579827987543,0.5058784893080881,17,4.444212765943706,118,0.7800673031347847,COMPLETE,Random
13,13,0.7873481692262659,0.7168240547180176,2021-06-15 17:09:54.003147,2021-06-15 17:10:12.181867,0 days 00:00:18.178720,8.30370638354577,0.0020048243421348466,5.68898707629245,0.0004363440459176966,7.613333483808735,10,3.329404454648183,240,0.29673625835398226,COMPLETE,Random
14,14,0.7839710431262694,0.7587692737579346,2021-06-15 17:10:12.182842,2021-06-15 17:10:45.250973,0 days 00:00:33.068131,5.637263801756007,4.947397100700414e-06,4.422377489040753,7.299723754516498e-05,9.758529698864605,10,9.040960026856462,253,0.7259166642918897,COMPLETE,Random
15,15,0.7751878834773454,0.5536658763885498,2021-06-15 17:10:45.251826,2021-06-15 17:10:51.237725,0 days 00:00:05.985899,7.456221808615665,3.280442178462859e-05,8.593180232437703,5.27963602078609e-05,7.10097712749929,3,3.064254915805277,83,0.2710384239576102,COMPLETE,Random
16,16,0.7994209104247374,1.0812087059020996,2021-06-15 17:10:51.238515,2021-06-15 17:12:00.913580,0 days 00:01:09.675065,9.096400086459242,1.2290793576393444e-05,5.936177494998916,0.001236912970022894,7.997849819362286,16,1.629610711915015,438,0.7145109796721811,COMPLETE,Random
17,17,0.7822917532848531,0.604964017868042,2021-06-15 17:12:00.914524,2021-06-15 17:12:16.573810,0 days 00:00:15.659286,9.152535303614926,0.0013854057802103906,9.659818761696997,2.1501708517186723e-06,0.9707684634850999,8,2.7284583464705303,121,0.6462752517104949,COMPLETE,Random
18,18,0.7733038461054219,0.5765838623046875,2021-06-15 17:12:16.574629,2021-06-15 17:12:21.568579,0 days 00:00:04.993950,9.454769730887332,0.007614117220125821,4.159404702106863,0.0004169826981659337,9.584359940671199,17,5.283106734726915,70,0.25318857674396456,COMPLETE,Random
19,19,0.8237956366480645,0.5091383457183838,2021-06-15 17:12:21.569644,2021-06-15 17:12:26.426691,0 days 00:00:04.857047,5.41872660881377,2.3996093036870873e-05,4.489949661809016,0.08360154174406281,2.8860483372412746,12,7.610979822669084,39,0.5417480435267359,COMPLETE,Random
20,20,0.8608437221426376,0.6082780361175537,2021-06-15 17:12:26.427517,2021-06-15 17:12:42.182772,0 days 00:00:15.755255,2.6342563358334936,1.9320329876847255,4.731740298796961,0.12191685899189504,9.869684047129667,15,8.81388231627643,90,0.9828937965635431,COMPLETE,Random
21,21,0.787702234797667,0.6021313667297363,2021-06-15 17:12:42.183756,2021-06-15 17:12:53.206234,0 days 00:00:11.022478,8.938629352708881,4.6151064419271274e-05,7.09395535773313,0.015345715502417069,1.45129275410955,12,2.483726777474189,125,0.3387509384618304,COMPLETE,Random
22,22,0.8420165632544865,1.0253000259399414,2021-06-15 17:12:53.207154,2021-06-15 17:13:27.169778,0 days 00:00:33.962624,8.631367455906556,0.0004960486190379464,2.0405623178949273,0.04180439513155497,9.521596862020994,9,3.3849677126337987,398,0.35217900312378697,COMPLETE,Random
23,23,0.8780928519394513,0.6031928062438965,2021-06-15 17:13:27.170582,2021-06-15 17:13:35.945173,0 days 00:00:08.774591,3.877043598718193,0.5907099355534509,0.6706181016369916,0.1961850136280131,2.113846769541733,5,7.825654295306275,91,0.45738679570735674,COMPLETE,Random
24,24,0.867107718868542,0.5295789241790771,2021-06-15 17:13:35.946002,2021-06-15 17:13:40.151482,0 days 00:00:04.205480,0.7706996540595401,0.0001102826743284184,4.536109212070809,0.39268449929002136,2.710687897007266,12,8.241613891849763,23,0.7326643392038321,COMPLETE,Random
25,25,0.8182806468900707,0.8480761051177979,2021-06-15 17:13:40.152350,2021-06-15 17:14:25.578326,0 days 00:00:45.425976,4.330622355672052,0.002169836307618666,1.7601561706319568,1.053234004298143e-06,9.712919856306012,17,7.340131892406402,288,0.7887394706020068,COMPLETE,Random
